neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
StoneBr,11556.0,700000.0,9,300.0440001487732,36.877707744345926,195441.7069076357,251751.09375,12.182777209972564,12.436200141906738,187130.0,8311.7069076357,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
IDOTRR,7438.0,200000.0,2,59.34100008010864,0.00032464813600160546,212873.33284290368,273200.34375,12.268216872888283,12.517964363098145,197559.3299999999,15314.002842903777,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
IDOTRR,9434.0,200000.0,2,59.32200002670288,0.00032464813600160546,212873.33284290368,273200.34375,12.268216872888283,12.517964363098145,197559.3299999999,15314.002842903777,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
IDOTRR,11556.0,200000.0,2,61.10300016403198,0.00032464813600160546,212873.33284290368,273200.34375,12.268216872888283,12.517964363098145,197559.3299999999,15314.002842903777,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
IDOTRR,7438.0,500000.0,9,300.05800008773804,1016.657232653078,235087.1535688243,316065.15625,12.367498749510816,12.66370677947998,235226.8299999997,-139.67643117540865,1.0,-0.0,450.0,0.0,383.999999999998,2.0,1.0,-0.0,1.0
IDOTRR,9434.0,500000.0,9,300.0550000667572,1016.657232653078,235087.1535688243,316065.15625,12.367498749510816,12.66370677947998,235226.8299999997,-139.67643117540865,1.0,-0.0,450.0,0.0,383.999999999998,2.0,1.0,-0.0,1.0
IDOTRR,11556.0,500000.0,9,300.0529999732971,1016.657232653078,235087.1535688243,316065.15625,12.367498749510816,12.66370677947998,235226.8299999997,-139.67643117540865,1.0,-0.0,450.0,0.0,383.999999999998,2.0,1.0,-0.0,1.0
IDOTRR,7438.0,700000.0,9,300.07599997520447,18.377019789113636,252963.44733138234,335222.03125,12.44078931907685,12.722551345825195,272939.3299999958,-19975.882668613485,1.0,-0.0,450.0,0.0,431.0,2.0,1.0,-0.0,1.0
IDOTRR,9434.0,700000.0,9,300.07299995422363,18.377019789113636,252963.44733138234,335222.03125,12.44078931907685,12.722551345825195,272939.3299999958,-19975.882668613485,1.0,-0.0,450.0,0.0,431.0,2.0,1.0,-0.0,1.0
IDOTRR,11556.0,700000.0,9,300.0920000076294,18.33898511728887,252963.44733138234,335222.03125,12.44078931907685,12.722551345825195,272939.3299999958,-19975.882668613485,1.0,-0.0,450.0,0.0,431.0,2.0,1.0,-0.0,1.0
OldTown,7438.0,200000.0,2,69.29900002479553,0.0,204376.0410674978,265033.84375,12.227476551092982,12.487616539001465,191359.32999999987,13016.711067497934,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
